epoch,cagr,volatility
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.7452061080527286,0.2748362246080712
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.35168440193681316,0.2573171996821583
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.23339876499011303,0.20069139798559754
0.0,0.21969908254463344,0.13835469782170678
0.0,0.0,0.0
0.0,0.7402739859379726,0.3842811677708115
0.0,0.012647921471138801,0.15380804224511427
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.8299818712114662,0.21490285937281062
0.0,0.3909266211151279,0.28797522700315303
0.0,-0.08036774930788848,0.19442977349400956
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.6560030815557152,0.22884424403920633
0.0,0.0,0.0
0.0,-0.07725000594320364,0.1780988744392801
0.0,0.0,0.0
0.0,3.4981319517257825,1.4818739620103836
